Ranking,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
55,2,2,0.1,-1.546579542,-0.911706345
56,12,2,1,-1.550593712,-0.353980346
57,10,2,0,-1.551839931,-0.489445115
58,8,2,1,-1.562934823,-0.50235747
59,8,2,0,-1.564914362,-0.473882675
60,6,2,0,-1.582065077,-0.566668994
61,13,2,0,-1.585772867,-0.380959935
62,8,2,1,-1.597693191,-0.462949548
63,6,2,5,-1.598780889,-0.421945455
64,14,2,0,-1.600923222,-0.394134398
65,12,2,5,-1.602262634,-0.263310683
66,9,2,0.1,-1.607843697,-0.450047823
67,8,2,0.25,-1.612769738,-0.556920457
68,7,2,0,-1.61524596,-0.446964578
69,14,2,0,-1.62421285,-0.336696392
70,13,2,1,-1.625373988,-0.253932827
71,4,2,1,-1.630720632,-0.553544355
72,10,2,0.25,-1.63223283,-0.388905644
73,7,2,0,-1.63226161,-0.587185834
74,9,2,0.25,-1.634053091,-0.404277147
75,10,2,0.5,-1.644203172,-0.449177382
76,6,2,0.5,-1.648592167,-0.557095774
77,9,2,0.5,-1.659408639,-0.436354673
78,14,2,0.5,-1.660880755,-0.404082473
79,12,2,1,-1.666088224,-0.383685943
80,12,2,0.25,-1.669906953,-0.318891373
81,12,2,0.25,-1.673281679,-0.382702817
82,4,2,20,-1.689138595,-0.596724754
83,11,2,0.1,-1.691381932,-0.45830728
84,9,2,0.5,-1.707213866,-0.407753698
85,7,2,10,-1.707767542,-0.320937864
86,8,2,0.1,-1.719087754,-0.491890754
87,8,2,0.1,-1.720111918,-0.508853798
88,7,2,0,-1.724638416,-0.581917865
89,10,2,0.5,-1.739976896,-0.43981737
90,14,2,0.1,-1.743434175,-0.391580626
91,14,2,0.5,-1.747414163,-0.348958304
92,11,2,10,-1.748556684,-0.190863922
93,9,2,0,-1.748719686,-0.444660043
94,11,2,5,-1.762199979,-0.248372133
95,9,2,1,-1.762756987,-0.472931553
96,7,2,5,-1.767705316,-0.281572355
97,4,2,0.1,-1.77264318,-0.665344625
98,14,2,0,-1.77629745,-0.348832847
99,13,2,0.1,-1.776541501,-0.311080532
100,9,2,5,-1.778272307,-0.344241685
101,15,2,0.5,-1.778883277,-0.357195025
102,11,2,5,-1.778907554,-0.248544251
103,3,2,0.5,-1.796056065,-0.820981404
104,2,2,0.1,-1.798989565,-0.916420579
105,8,2,5,-1.80324989,-0.320866379
106,14,2,0.25,-1.809251705,-0.295198795
107,15,2,1,-1.820374632,-0.296040557
